model,mae_test,rmse_test,r2_test,mae_train,rmse_train,r2_train,fit_time_s
XGBoost,2456.44677734375,4181.719981060425,0.9183459877967834,2115.063720703125,3351.4113444935406,0.9470582008361816,4.584606885910034
Random Forest,4008.5828923308736,6624.8690718638645,0.7950621710688709,3904.561049955786,6317.531690244237,0.8118785641836506,10.743604898452759
Ridge,5729.90673828125,8659.822169074836,0.6498247385025024,5730.2119140625,8592.74345014443,0.6519776582717896,0.17609000205993652
Lasso,5731.017578125,8666.333942331094,0.6492979526519775,5729.84814453125,8597.00645573795,0.6516322493553162,19.46255087852478
