model,mae_test,rmse_test,r2_test,mae_train,rmse_train,fit_time_s
XGBoost (tuned),2262.319091796875,3980.9124582185927,0.9259998202323914,1835.6605224609375,2969.7912384543124,7.186530113220215
Blend (w=1.00×XGB + 0.00×RF),2262.3191943434617,3980.9126696946655,0.9259998103706877,,,0.0
XGBoost,2456.44677734375,4181.719981060425,0.9183459877967834,2115.063720703125,3351.4113444935406,4.584606885910034
Random Forest,4008.5828923308736,6624.8690718638645,0.7950621710688709,3904.561049955786,6317.531690244237,10.743604898452759
Ridge (log target),5135.59765625,8499.966588169626,0.6626335382461548,5164.8408203125,8528.079267924284,0.23449110984802246
Lasso (log target),5152.44287109375,8504.605340637507,0.6622651815414429,5180.68017578125,8526.85780343498,0.639739990234375
Ridge,5729.90673828125,8659.822169074836,0.6498247385025024,5730.2119140625,8592.74345014443,0.17609000205993652
Lasso,5731.017578125,8666.333942331094,0.6492979526519775,5729.84814453125,8597.00645573795,19.46255087852478
